turn, xmoves, omoves, btp, move
x, None, None, 1_1, 1_1_1_1
o, 1_1_1_1, None, 1_1, 1_1_0_0
x, 1_1_1_1, 1_1_0_0, 0_0, 0_0_2_2
x, 1_1_1_1, 1_1_0_2, 0_2, 0_2_2_0
x, 1_1_1_1, 1_1_2_0, 2_0, 2_0_0_2
x, 1_1_1_1, 1_1_2_2, 2_2, 2_2_0_0
x, 1_1_1_1, 1_1_1_2, 1_2, 1_2_0_1
x, 1_1_1_1, 1_1_1_0, 1_0, 1_0_0_1
x, 1_1_1_1, 1_1_0_1, 0_1, 0_1_1_2
x, 1_1_1_1, 1_1_2_1, 2_1, 2_1_1_2
o, 1_1_1_1 | 0_0_2_2, 1_1_0_0, 2_2, 2_2_0_0
o, 1_1_1_1 | 0_2_2_0, 1_1_0_2, 2_0, 2_0_0_2
o, 1_1_1_1 | 2_0_0_2, 1_1_2_0, 0_2, 0_2_2_0
o, 1_1_1_1 | 2_2_0_0, 1_1_2_2, 0_0, 0_0_2_2
o, 1_1_1_1 | 0_0_0_0, 1_1_0_0, 0_0, 0_0_2_0
o, 1_1_1_1 | 0_2_0_2, 1_1_0_2, 0_2, 0_2_0_0
o, 1_1_1_1 | 2_0_2_0, 1_1_2_0, 2_0, 2_0_2_2
o, 1_1_1_1 | 2_2_2_2, 1_1_2_2, 2_2, 2_2_0_2
